Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
546,Pixels,"$244,874,809","$78,747,585",32.16%,"$166,127,224",67.84,2015
547,Hercules,"$244,819,862","$72,688,614",29.69%,"$172,131,248",70.31,2014
548,Toy Story,"$244,660,876","$191,796,233",78.39%,"$52,864,643",21.61,1995
549,Rush Hour,"$244,386,864","$141,186,864",57.77%,"$103,200,000",42.23,1998
550,Journey to the Center of the Earth,"$244,232,688","$101,704,370",41.64%,"$142,528,318",58.36,2008
551,Sully,"$243,870,033","$125,070,033",51.29%,"$118,800,000",48.71,2016
552,After Earth,"$243,611,982","$60,522,097",24.84%,"$183,089,885",75.16,2013
553,Cloudy with a Chance of Meatballs,"$243,006,126","$124,870,275",51.39%,"$118,135,851",48.61,2009
554,8 Mile,"$242,875,078","$116,750,901",48.07%,"$126,124,177",51.93,2002
555,Daddy's Home,"$242,786,137","$150,357,137",61.93%,"$92,429,000",38.07,2015
556,RoboCop,"$242,688,965","$58,607,007",24.15%,"$184,081,958",75.85,2014
558,Alien: Covenant,"$240,891,763","$74,262,031",30.83%,"$166,629,732",69.17,2017
559,Assassin's Creed,"$240,697,856","$54,647,948",22.7%,"$186,049,908",77.3,2016
560,Click,"$240,685,326","$137,355,633",57.07%,"$103,329,693",42.93,2006
561,Jiang Ziya,"$240,646,355","$214,670",0.09%,"$240,431,685",99.91,2020
562,Resident Evil: Retribution,"$240,159,255","$42,345,531",17.63%,"$197,813,724",82.37,2012
563,Planes,"$239,258,712","$90,288,712",37.74%,"$148,970,000",62.26,2013
564,Crazy Rich Asians,"$239,032,921","$174,532,921",73.02%,"$64,500,000",26.98,2018
565,Batman & Robin,"$238,225,195","$107,325,195",45.05%,"$130,900,000",54.95,1997
566,Who Framed Roger Rabbit,"$238,092,487","$156,452,370",65.71%,"$81,640,117",34.29,1988
567,Gulliver's Travels,"$237,382,724","$42,779,261",18.02%,"$194,603,463",81.98,2010
568,Gone in 60 Seconds,"$237,202,299","$101,648,571",42.85%,"$135,553,728",57.15,2000
569,Green Lantern,"$237,201,172","$116,601,172",49.16%,"$120,600,000",50.84,2011
570,Silver Linings Playbook,"$236,412,453","$132,092,958",55.87%,"$104,319,495",44.13,2012
571,2 Fast 2 Furious,"$236,350,661","$127,154,901",53.8%,"$109,195,760",46.2,2003
572,Hidden Figures,"$235,956,898","$169,607,287",71.88%,"$66,349,611",28.12,2016
573,A.I. Artificial Intelligence,"$235,926,552","$78,616,689",33.32%,"$157,309,863",66.68,2001
574,Spy,"$235,666,219","$110,825,712",47.03%,"$124,840,507",52.97,2015
575,American Pie,"$235,483,004","$102,561,004",43.55%,"$132,922,000",56.45,1999
576,Howl's Moving Castle,"$235,184,110","$4,711,096",2.0%,"$230,473,014",98.0,2004
577,American Reunion,"$234,989,584","$57,011,521",24.26%,"$177,978,063",75.74,2012
578,Big Daddy,"$234,801,895","$163,479,795",69.62%,"$71,322,100",30.38,1999
579,Alvin and the Chipmunks: The Road Chip,"$234,798,636","$85,886,987",36.58%,"$148,911,649",63.42,2015
580,Beverly Hills Cop,"$234,760,538","$234,760,478",100.0%,$60,0.0,1984
581,The Imitation Game,"$233,555,708","$91,125,683",39.02%,"$142,430,025",60.98,2014
582,The Day the Earth Stood Still,"$233,093,859","$79,366,978",34.05%,"$153,726,881",65.95,2008
583,American Wedding,"$232,722,935","$104,565,114",44.93%,"$128,157,821",55.07,2003
584,The Girl with the Dragon Tattoo,"$232,617,430","$102,515,793",44.07%,"$130,101,637",55.93,2011
585,Juno,"$232,372,681","$143,495,265",61.75%,"$88,877,416",38.25,2007
586,Argo,"$232,325,503","$136,025,503",58.55%,"$96,300,000",41.45,2012
587,Mr. Bean's Holiday,"$232,225,908","$33,302,167",14.34%,"$198,923,741",85.66,2007
588,Annabelle Comes Home,"$231,252,591","$74,152,591",32.07%,"$157,100,000",67.93,2019
589,Constantine,"$230,884,728","$75,976,178",32.91%,"$154,908,550",67.09,2005
590,Get Smart,"$230,685,453","$130,319,208",56.49%,"$100,366,245",43.51,2008
591,The Heat,"$229,930,771","$159,582,188",69.4%,"$70,348,583",30.6,2013
592,Ghostbusters,"$229,379,150","$229,242,989",99.94%,"$136,161",0.06,1984
594,Life Is Beautiful,"$228,847,384","$57,247,384",25.02%,"$171,600,000",74.98,1998
595,Ghost Rider,"$228,738,393","$115,802,596",50.63%,"$112,935,797",49.37,2007
596,Goodbye Mr. Loser,"$228,122,928","$1,293,626",0.57%,"$226,829,302",99.43,2015
597,The Green Hornet,"$227,817,248","$98,780,042",43.36%,"$129,037,206",56.64,2011
598,Better Days,"$227,313,644","$1,921,657",0.85%,"$225,391,987",99.15,2019
599,Paddington 2,"$227,291,591","$40,891,591",17.99%,"$186,400,000",82.01,2017
600,Youth,"$227,091,290","$1,891,956",0.83%,"$225,199,334",99.17,2017
601,Baby Driver,"$226,945,087","$107,825,862",47.51%,"$119,119,225",52.49,2017
602,Immortals,"$226,904,017","$83,504,017",36.8%,"$143,400,000",63.2,2011
603,Taken,"$226,837,760","$145,000,989",63.92%,"$81,836,771",36.08,2008
604,Percy Jackson & the Olympians: The Lightning Thief,"$226,497,209","$88,768,303",39.19%,"$137,728,906",60.81,2010
605,Hansel & Gretel: Witch Hunters,"$226,349,749","$55,703,475",24.61%,"$170,646,274",75.39,2013
606,Valerian and the City of a Thousand Planets,"$225,874,228","$41,189,488",18.24%,"$184,684,740",81.76,2017
607,Out of Africa,"$225,526,205","$87,071,205",38.61%,"$138,455,000",61.39,1985
608,Ford v Ferrari,"$225,508,210","$117,624,357",52.16%,"$107,883,853",47.84,2019
609,Jumper,"$225,132,113","$80,172,128",35.61%,"$144,959,985",64.39,2008
610,The Social Network,"$224,920,315","$96,962,694",43.11%,"$127,957,621",56.89,2010
611,Chicken Run,"$224,834,564","$106,834,564",47.52%,"$118,000,000",52.48,2000
612,Apollo 13,"$223,837,411","$172,071,312",76.87%,"$51,766,099",23.13,1995
613,Flightplan,"$223,387,299","$89,707,299",40.16%,"$133,680,000",59.84,2005
614,Back to the Future,"$223,337,724","$211,850,472",94.86%,"$11,487,252",5.14,1985
615,Yes Man,"$223,241,637","$97,690,976",43.76%,"$125,550,661",56.24,2008
616,Non-Stop,"$222,809,600","$92,168,600",41.37%,"$130,641,000",58.63,2014
617,Fahrenheit 9/11,"$222,446,882","$119,194,771",53.58%,"$103,252,111",46.42,2004
618,Wild Wild West,"$222,104,681","$113,804,681",51.24%,"$108,300,000",48.76,1999
619,Geostorm,"$221,900,160","$33,700,160",15.19%,"$188,200,000",84.81,2017
620,Scary Movie 3,"$220,673,217","$110,003,217",49.85%,"$110,670,000",50.15,2003
621,Elf,"$220,443,451","$173,398,518",78.66%,"$47,044,933",21.34,2003
622,Collateral,"$220,239,925","$101,005,703",45.86%,"$119,234,222",54.14,2004
623,Inferno,"$220,021,259","$34,343,574",15.61%,"$185,677,685",84.39,2016
624,Knocked Up,"$219,922,417","$148,768,917",67.65%,"$71,153,500",32.35,2007
625,What Happens in Vegas,"$219,375,562","$80,277,646",36.59%,"$139,097,916",63.41,2008
626,Mrs. Doubtfire,"$219,196,147","$219,195,243",100.0%,$904,0.0,1993
627,It's Complicated,"$219,103,655","$112,735,375",51.45%,"$106,368,280",48.55,2009
628,Little Women,"$218,843,645","$108,101,214",49.4%,"$110,742,431",50.6,2019
629,Captain Phillips,"$218,791,811","$107,100,855",48.95%,"$111,690,956",51.05,2013
630,The Terminal,"$218,685,607","$77,872,883",35.61%,"$140,812,724",64.39,2004
631,The Prince of Egypt,"$218,613,188","$101,413,188",46.39%,"$117,200,000",53.61,1998
632,Jack Reacher,"$218,340,595","$80,070,736",36.67%,"$138,269,859",63.33,2012
633,Kingdom of Heaven,"$218,122,627","$47,398,413",21.73%,"$170,724,214",78.27,2005
634,Smallfoot,"$217,940,103","$83,240,103",38.19%,"$134,700,000",61.81,2018
635,The Emoji Movie,"$217,776,646","$86,089,513",39.53%,"$131,687,133",60.47,2017
636,Ghost,"$217,631,670","$217,631,306",100.0%,$364,0.0,1990
637,Dracula Untold,"$217,124,280","$56,280,355",25.92%,"$160,843,925",74.08,2014
638,Central Intelligence,"$216,940,871","$127,440,871",58.74%,"$89,500,000",41.26,2016
639,Million Dollar Baby,"$216,763,646","$100,492,203",46.36%,"$116,271,443",53.64,2004
640,The Help,"$216,639,112","$169,708,112",78.34%,"$46,931,000",21.66,2011
641,Valentine's Day,"$216,485,654","$110,485,654",51.04%,"$106,000,000",48.96,2010
642,Superman II,"$216,385,706","$108,185,706",50.0%,"$108,200,000",50.0,1981
643,Bad Teacher,"$216,197,492","$100,292,856",46.39%,"$115,904,636",53.61,2011
644,The Croods: A New Age,"$215,905,815","$58,568,815",27.13%,"$157,337,000",72.87,2020
645,Ted 2,"$215,863,606","$81,476,385",37.74%,"$134,387,221",62.26,2015
646,Vertical Limit,"$215,663,859","$69,243,859",32.11%,"$146,420,000",67.89,2000
647,The Patriot,"$215,294,342","$113,330,342",52.64%,"$101,964,000",47.36,2000
648,The Sorcerer's Apprentice,"$215,283,742","$63,150,991",29.33%,"$152,132,751",70.67,2010
649,Just Go with It,"$214,945,591","$103,028,109",47.93%,"$111,917,482",52.07,2011
650,The Expendables 3,"$214,657,577","$39,322,544",18.32%,"$175,335,033",81.68,2014
651,Creed II,"$214,215,889","$115,715,889",54.02%,"$98,500,000",45.98,2018
652,Public Enemies,"$214,104,620","$97,104,620",45.35%,"$117,000,000",54.65,2009
653,The Bourne Identity,"$214,034,224","$121,661,683",56.84%,"$92,372,541",43.16,2002
654,The Aviator,"$213,719,942","$102,610,330",48.01%,"$111,109,612",51.99,2004
655,"Crouching Tiger, Hidden Dragon","$213,525,736","$128,078,872",59.98%,"$85,446,864",40.02,2000
656,Into the Woods,"$212,902,372","$128,002,372",60.12%,"$84,900,000",39.88,2014
657,Bedtime Stories,"$212,874,864","$110,101,975",51.72%,"$102,772,889",48.28,2008
658,Miss Congeniality,"$212,742,720","$106,807,667",50.21%,"$105,935,053",49.79,2000
659,Entrapment,"$212,404,396","$87,704,396",41.29%,"$124,700,000",58.71,1999
661,End of Days,"$211,989,043","$66,889,043",31.55%,"$145,100,000",68.45,1999
662,Bridget Jones's Baby,"$211,952,420","$24,252,420",11.44%,"$187,700,000",88.56,2016
663,Battle Los Angeles,"$211,819,354","$83,552,429",39.45%,"$128,266,925",60.55,2011
664,Fury,"$211,817,906","$85,817,906",40.51%,"$126,000,000",59.49,2014
665,Australia,"$211,788,739","$49,554,002",23.4%,"$162,234,737",76.6,2008
666,Due Date,"$211,780,824","$100,539,043",47.47%,"$111,241,781",52.53,2010
667,Master and Commander: The Far Side of the World,"$211,622,535","$93,927,920",44.38%,"$117,694,615",55.62,2003
668,A Series of Unfortunate Events,"$211,468,235","$118,634,549",56.1%,"$92,833,686",43.9,2004
669,District 9,"$210,888,950","$115,646,235",54.84%,"$95,242,715",45.16,2009
670,The Others,"$209,947,037","$96,522,687",45.97%,"$113,424,350",54.03,2001
671,Horrible Bosses,"$209,838,559","$117,538,559",56.01%,"$92,300,000",43.99,2011
673,Red Dragon,"$209,196,298","$93,149,898",44.53%,"$116,046,400",55.47,2002
674,Tomorrowland,"$209,035,668","$93,436,322",44.7%,"$115,599,346",55.3,2015
675,Me Before You,"$208,445,075","$56,245,075",26.98%,"$152,200,000",73.02,2016
676,Safe House,"$208,076,205","$126,373,434",60.73%,"$81,702,771",39.27,2012
677,S.W.A.T.,"$207,725,639","$116,934,650",56.29%,"$90,790,989",43.71,2003
678,Traffic,"$207,515,725","$124,115,725",59.81%,"$83,400,000",40.19,2000
679,The Fast and the Furious,"$207,283,925","$144,533,925",69.73%,"$62,750,000",30.27,2001
680,Paranormal Activity 3,"$207,039,844","$104,028,807",50.25%,"$103,011,037",49.75,2011
681,Austin Powers: The Spy Who Shagged Me,"$206,756,403","$206,040,086",99.65%,"$716,317",0.35,1999
682,Sleepy Hollow,"$206,071,502","$101,071,502",49.05%,"$105,000,000",50.95,1999
683,The Holiday,"$205,844,805","$63,224,849",30.71%,"$142,619,956",69.29,2006
684,London Has Fallen,"$205,754,447","$62,524,260",30.39%,"$143,230,187",69.61,2016
685,The Break-Up,"$205,668,210","$118,703,275",57.72%,"$86,964,935",42.28,2006
686,Journey to the West: Conquering the Demons,"$205,637,183","$18,058",0.01%,"$205,619,125",99.99,2013
687,White House Down,"$205,366,737","$73,103,784",35.6%,"$132,262,953",64.4,2013
688,Birds of Prey,"$205,358,461","$84,158,461",40.98%,"$121,200,000",59.02,2020
689,The Ugly Truth,"$205,298,907","$88,915,214",43.31%,"$116,383,693",56.69,2009
690,Terminator 2: Judgment Day,"$205,074,908","$204,843,345",99.89%,"$231,563",0.11,1991
691,A Dog's Purpose,"$205,035,819","$64,508,620",31.46%,"$140,527,199",68.54,2017
692,Fun with Dick and Jane,"$204,681,899","$110,332,737",53.9%,"$94,349,162",46.1,2005
693,Eat Pray Love,"$204,594,016","$80,574,010",39.38%,"$124,020,006",60.62,2010
694,You Don't Mess with the Zohan,"$204,313,400","$100,018,837",48.95%,"$104,294,563",51.05,2008
695,Ponyo,"$204,173,142","$15,090,399",7.39%,"$189,082,743",92.61,2008
696,King Arthur,"$203,567,857","$51,882,244",25.49%,"$151,685,613",74.51,2004
697,Hairspray,"$203,553,768","$118,871,849",58.4%,"$84,681,919",41.6,2007
698,Yogi Bear,"$203,509,374","$100,246,011",49.26%,"$103,263,363",50.74,2010
699,Everest,"$203,427,584","$43,482,270",21.37%,"$159,945,314",78.63,2015
700,Vanilla Sky,"$203,388,341","$100,618,344",49.47%,"$102,769,997",50.53,2001
701,Arrival,"$203,388,186","$100,546,139",49.44%,"$102,842,047",50.56,2016
702,Need for Speed,"$203,277,636","$43,577,636",21.44%,"$159,700,000",78.56,2014
703,Garfield: The Movie,"$203,172,417","$75,369,589",37.1%,"$127,802,828",62.9,2004
704,The Addams Family,"$203,044,905","$100,044,905",49.27%,"$103,000,000",50.73,2019
705,Patch Adams,"$202,292,902","$135,026,902",66.75%,"$67,266,000",33.25,1998
706,Straight Outta Compton,"$201,634,991","$161,197,785",79.95%,"$40,437,206",20.05,2015
707,21 Jump Street,"$201,585,328","$138,447,667",68.68%,"$63,137,661",31.32,2012
708,Valkyrie,"$201,545,517","$83,077,833",41.22%,"$118,467,684",58.78,2008
709,Open Season,"$200,811,689","$85,105,259",42.38%,"$115,706,430",57.62,2006
710,Cats & Dogs,"$200,687,492","$93,385,515",46.53%,"$107,301,977",53.47,2001
711,Percy Jackson: Sea of Monsters,"$199,850,315","$68,559,554",34.31%,"$131,290,761",65.69,2013
712,Two Weeks Notice,"$199,043,242","$93,354,851",46.9%,"$105,688,391",53.1,2002
713,RED,"$199,006,387","$90,380,162",45.42%,"$108,626,225",54.58,2010
714,City of Angels,"$198,685,114","$78,685,114",39.6%,"$120,000,000",60.4,1998
715,The Pacifier,"$198,636,868","$113,086,868",56.93%,"$85,550,000",43.07,2005
716,Total Recall,"$198,467,168","$58,877,969",29.67%,"$139,589,199",70.33,2012
717,50 First Dates,"$198,413,428","$120,908,074",60.94%,"$77,505,354",39.06,2004
718,The Island,"$198,326,350","$670,883",0.34%,"$197,655,467",99.66,2018
719,The Impossible,"$198,087,212","$19,019,882",9.6%,"$179,067,330",90.4,2012
720,Lost in Thailand,"$197,757,387","$57,387",0.03%,"$197,700,000",99.97,2012
721,Christopher Robin,"$197,744,377","$99,215,042",50.17%,"$98,529,335",49.83,2018
722,Jack the Giant Slayer,"$197,687,603","$65,187,603",32.98%,"$132,500,000",67.02,2013
723,Smurfs: The Lost Village,"$197,183,546","$45,020,282",22.83%,"$152,163,264",77.17,2017
725,Spy Kids 3: Game Over,"$197,011,982","$111,761,982",56.73%,"$85,250,000",43.27,2003
726,The Other Woman,"$196,710,396","$83,911,193",42.66%,"$112,799,203",57.34,2014
727,Panic Room,"$196,397,415","$96,397,334",49.08%,"$100,000,081",50.92,2002
728,Beowulf,"$196,393,745","$82,280,579",41.9%,"$114,113,166",58.1,2007
729,The Vow,"$196,114,570","$125,014,030",63.75%,"$71,100,540",36.25,2012
730,Anger Management,"$195,745,823","$135,645,823",69.3%,"$60,100,000",30.7,2003
731,Tropic Thunder,"$195,703,047","$110,515,313",56.47%,"$85,187,734",43.53,2008
732,Rocketman,"$195,320,400","$96,368,160",49.34%,"$98,952,240",50.66,2019
733,The Shape of Water,"$195,243,464","$63,859,435",32.71%,"$131,384,029",67.29,2017
734,The BFG,"$195,243,411","$55,483,770",28.42%,"$139,759,641",71.58,2016
735,The Intern,"$194,764,672","$75,764,672",38.9%,"$119,000,000",61.1,2015
736,Downton Abbey,"$194,694,725","$96,853,865",49.75%,"$97,840,860",50.25,2019
737,Gnomeo & Juliet,"$193,967,670","$99,967,670",51.54%,"$94,000,000",48.46,2011
738,The Sum of All Fears,"$193,921,372","$118,907,036",61.32%,"$75,014,336",38.68,2002
739,Gangs of New York,"$193,772,504","$77,812,000",40.16%,"$115,960,504",59.84,2002
740,The Monkey King 2,"$193,678,298","$709,982",0.37%,"$192,968,316",99.63,2016
741,Paranormal Activity,"$193,355,800","$107,918,810",55.81%,"$85,436,990",44.19,2009
742,Wallace & Gromit: The Curse of the Were-Rabbit,"$192,614,977","$56,110,897",29.13%,"$136,504,080",70.87,2005
743,Weathering with You,"$192,353,166","$8,056,636",4.19%,"$184,296,530",95.81,2019
744,The Equalizer,"$192,330,738","$101,530,738",52.79%,"$90,800,000",47.21,2014
745,The Lego Movie 2: The Second Part,"$192,306,508","$105,806,508",55.02%,"$86,500,000",44.98,2019
746,The Longest Yard,"$191,466,556","$158,119,460",82.58%,"$33,347,096",17.42,2005
747,The Equalizer 2,"$190,400,157","$102,084,362",53.62%,"$88,315,795",46.38,2018
748,Hollow Man,"$190,213,455","$73,209,340",38.49%,"$117,004,115",61.51,2000
749,Cheaper by the Dozen,"$190,212,113","$138,614,544",72.87%,"$51,597,569",27.13,2003
750,The White Storm 2: Drug Lords,"$189,396,380","$609,461",0.32%,"$188,786,919",99.68,2019
751,Breakup Buddies,"$189,017,596","$777,896",0.41%,"$188,239,700",99.59,2014
752,Abominable,"$188,623,517","$60,716,390",32.19%,"$127,907,127",67.81,2019
753,The Secret Life of Walter Mitty,"$188,133,322","$58,236,838",30.96%,"$129,896,484",69.04,2013
754,12 Years a Slave,"$187,733,202","$56,671,993",30.19%,"$131,061,209",69.81,2013
755,Mr. Popper's Penguins,"$187,361,754","$68,224,452",36.41%,"$119,137,302",63.59,2011
756,The Grudge,"$187,281,115","$110,359,362",58.93%,"$76,921,753",41.07,2004
757,I Now Pronounce You Chuck & Larry,"$187,134,117","$120,059,556",64.16%,"$67,074,561",35.84,2007
758,The Horse Whisperer,"$186,883,563","$75,383,563",40.34%,"$111,500,000",59.66,1998
759,Walk the Line,"$186,797,986","$119,519,402",63.98%,"$67,278,584",36.02,2005
760,The Final Destination,"$186,167,139","$66,477,700",35.71%,"$119,689,439",64.29,2009
761,Atlantis: The Lost Empire,"$186,053,725","$84,056,472",45.18%,"$101,997,253",54.82,2001
762,The Lion King 2011 3D Release,"$186,042,001","$94,242,001",50.66%,"$91,800,000",49.34,2011
763,Inside Man,"$186,003,591","$88,513,495",47.59%,"$97,490,096",52.41,2006
764,The Waterboy,"$185,991,646","$161,491,646",86.83%,"$24,500,000",13.17,1998
765,Hugo,"$185,770,160","$73,864,507",39.76%,"$111,905,653",60.24,2011
766,Pitch Perfect 3,"$185,400,345","$104,897,530",56.58%,"$80,502,815",43.42,2017
767,Watchmen,"$185,382,813","$107,509,799",57.99%,"$77,873,014",42.01,2009
768,Jupiter Ascending,"$184,287,723","$47,387,723",25.71%,"$136,900,000",74.29,2015
771,Hop,"$183,953,723","$108,085,305",58.76%,"$75,868,418",41.24,2011
772,Bad Moms,"$183,936,074","$113,257,297",61.57%,"$70,678,777",38.43,2016
773,The Fugitive,"$183,875,799","$183,875,760",100.0%,$39,0.0,1993
774,Storks,"$183,679,278","$72,679,278",39.57%,"$111,000,000",60.43,2016
775,Knowing,"$183,658,498","$79,957,634",43.54%,"$103,700,864",56.46,2007
776,102 Dalmatians,"$183,611,771","$66,957,026",36.47%,"$116,654,745",63.53,2000
777,The Hitman's Bodyguard,"$183,415,183","$75,468,583",41.15%,"$107,946,600",58.85,2017
778,Paul Blart: Mall Cop,"$183,348,429","$146,336,178",79.81%,"$37,012,251",20.19,2009
779,Mirror Mirror,"$183,018,522","$64,935,167",35.48%,"$118,083,355",64.52,2012
780,The Man in the Iron Mask,"$182,968,902","$56,968,902",31.14%,"$126,000,000",68.86,1998
781,The Haunted Mansion,"$182,290,266","$75,847,266",41.61%,"$106,443,000",58.39,2003
782,Poseidon,"$181,674,817","$60,674,817",33.4%,"$121,000,000",66.6,2006
784,Scooby-Doo 2: Monsters Unleashed,"$181,216,833","$84,216,833",46.47%,"$97,000,000",53.53,2004
785,Road to Perdition,"$181,001,478","$104,454,762",57.71%,"$76,546,716",42.29,2002
787,Kill Bill: Vol. 1,"$180,899,045","$70,099,045",38.75%,"$110,800,000",61.25,2003
788,Sweet Home Alabama,"$180,622,424","$127,223,418",70.44%,"$53,399,006",29.56,2002
789,Daddy's Home 2,"$180,613,180","$104,029,443",57.6%,"$76,583,737",42.4,2017
790,Hacksaw Ridge,"$180,563,636","$67,209,615",37.22%,"$113,354,021",62.78,2016
791,Deja Vu,"$180,557,550","$64,038,616",35.47%,"$116,518,934",64.53,2006
792,Indiana Jones and the Temple of Doom,"$179,877,399","$179,870,271",100.0%,"$7,128",0.0,1984
793,The Post,"$179,769,457","$81,903,458",45.56%,"$97,865,999",54.44,2017
794,The Dictator,"$179,379,533","$59,650,222",33.25%,"$119,729,311",66.75,2012
795,The League of Extraordinary Gentlemen,"$179,265,204","$66,465,204",37.08%,"$112,800,000",62.92,2003
796,Allegiant,"$179,246,868","$66,184,051",36.92%,"$113,062,817",63.08,2016
797,Moulin Rouge!,"$179,213,434","$57,386,607",32.02%,"$121,826,827",67.98,2001
798,Daredevil,"$179,179,718","$102,543,518",57.23%,"$76,636,200",42.77,2003
799,He's Just Not That Into You,"$178,866,158","$93,953,653",52.53%,"$84,912,505",47.47,2009
800,The Scorpion King,"$178,799,308","$91,047,077",50.92%,"$87,752,231",49.08,2002
801,Eagle Eye,"$178,767,383","$101,440,743",56.74%,"$77,326,640",43.26,2008
802,Pretty Woman,"$178,464,491","$178,406,268",99.97%,"$58,223",0.03,1990
803,Along Came Polly,"$178,311,729","$88,097,164",49.41%,"$90,214,565",50.59,2004
804,Flushed Away,"$178,281,554","$64,665,672",36.27%,"$113,615,882",63.73,2006
805,Scary Movie 4,"$178,262,620","$90,710,620",50.89%,"$87,552,000",49.11,2006
806,Brokeback Mountain,"$178,062,759","$83,043,761",46.64%,"$95,018,998",53.36,2005
807,Baywatch,"$177,856,751","$58,060,186",32.64%,"$119,796,565",67.36,2017
808,Double Jeopardy,"$177,841,558","$116,741,558",65.64%,"$61,100,000",34.36,1999
809,War Horse,"$177,584,879","$79,884,879",44.98%,"$97,700,000",55.02,2011
810,Paranormal Activity 2,"$177,512,032","$84,752,907",47.74%,"$92,759,125",52.26,2010
811,How to Lose a Guy in 10 Days,"$177,503,042","$105,813,373",59.61%,"$71,689,669",40.39,2003
812,Alien vs. Predator,"$177,427,090","$80,282,231",45.25%,"$97,144,859",54.75,2004
813,Hero,"$177,395,557","$53,710,019",30.28%,"$123,685,538",69.72,2002
814,The 40-Year-Old Virgin,"$177,378,645","$109,449,237",61.7%,"$67,929,408",38.3,2005
815,The Butler,"$177,313,795","$116,632,095",65.78%,"$60,681,700",34.22,2013
816,The Haunting,"$177,311,151","$91,411,151",51.55%,"$85,900,000",48.45,1999
817,The Descendants,"$177,243,185","$82,584,160",46.59%,"$94,659,025",53.41,2011
818,The A-Team,"$177,238,796","$77,222,099",43.57%,"$100,016,697",56.43,2010
820,Top Gun,"$176,915,278","$176,781,728",99.92%,"$133,550",0.08,1986
821,Analyze This,"$176,885,658","$106,885,658",60.43%,"$70,000,000",39.57,1999
822,Looper,"$176,506,819","$66,486,205",37.67%,"$110,020,614",62.33,2012
823,Ip Man 4: The Finale,"$176,345,966","$3,956,031",2.24%,"$172,389,935",97.76,2019
824,Dr. Dolittle 2,"$176,104,344","$112,952,899",64.14%,"$63,151,445",35.86,2001
825,The Italian Job,"$176,070,171","$106,128,601",60.28%,"$69,941,570",39.72,2003
826,The Bucket List,"$175,372,502","$93,466,502",53.3%,"$81,906,000",46.7,2007
827,Dead Poets Society,"$174,999,362","$95,860,116",54.78%,"$79,139,246",45.22,1989
828,Cowboys & Aliens,"$174,822,325","$100,240,551",57.34%,"$74,581,774",42.66,2011
829,The Mule,"$174,804,407","$103,804,407",59.38%,"$71,000,000",40.62,2018
831,Evan Almighty,"$174,440,724","$100,462,298",57.59%,"$73,978,426",42.41,2007
832,Creed,"$174,167,581","$109,767,581",63.02%,"$64,400,000",36.98,2015
833,Identity Thief,"$173,965,010","$134,506,920",77.32%,"$39,458,090",22.68,2013
834,The Nutcracker and the Four Realms,"$173,961,069","$54,858,851",31.54%,"$119,102,218",68.46,2018
835,Big Momma's House,"$173,959,438","$117,559,438",67.58%,"$56,400,000",32.42,2000
836,In Time,"$173,930,596","$37,520,095",21.57%,"$136,410,501",78.43,2011
837,Amélie,"$173,921,954","$33,225,499",19.1%,"$140,696,455",80.9,2001
838,Operation Mekong,"$173,839,072","$800,012",0.46%,"$173,039,060",99.54,2016
839,Home Alone 2: Lost in New York,"$173,595,300","$173,585,516",99.99%,"$9,784",0.01,1992
840,Gemini Man,"$173,469,516","$48,546,770",27.99%,"$124,922,746",72.01,2019
841,The Girl on the Train,"$173,185,859","$75,395,035",43.53%,"$97,790,824",56.47,2016
842,Cold Mountain,"$173,013,509","$95,636,509",55.28%,"$77,377,000",44.72,2003
843,Black Hawk Down,"$172,989,651","$108,638,745",62.8%,"$64,350,906",37.2,2001
845,The Grand Budapest Hotel,"$172,936,941","$59,301,324",34.29%,"$113,635,617",65.71,2014
846,The Santa Clause 2,"$172,855,065","$139,236,327",80.55%,"$33,618,738",19.45,2002
847,Rain Man,"$172,835,580","$172,825,435",99.99%,"$10,145",0.01,1988
848,Cloverfield,"$172,394,180","$80,048,433",46.43%,"$92,345,747",53.57,2008
849,Couples Retreat,"$171,844,840","$109,204,945",63.55%,"$62,639,895",36.45,2009
850,Antz,"$171,757,863","$90,757,863",52.84%,"$81,000,000",47.16,1998
851,Blood Diamond,"$171,720,398","$57,377,916",33.41%,"$114,342,482",66.59,2006
852,Jackass 3D,"$171,685,792","$117,229,692",68.28%,"$54,456,100",31.72,2010
853,No Country for Old Men,"$171,627,166","$74,283,625",43.28%,"$97,343,541",56.72,2007
854,Spies in Disguise,"$171,616,764","$66,757,013",38.9%,"$104,859,751",61.1,2019
855,John Wick: Chapter 2,"$171,539,887","$92,029,184",53.65%,"$79,510,703",46.35,2017
856,Anchorman 2: The Legend Continues,"$171,464,676","$125,168,368",73.0%,"$46,296,308",27.0,2013
857,Mr. Deeds,"$171,269,535","$126,293,452",73.74%,"$44,976,083",26.26,2002
858,Superbad,"$170,812,574","$121,463,226",71.11%,"$49,349,348",28.89,2007
859,The Other Guys,"$170,458,922","$119,219,978",69.94%,"$51,238,944",30.06,2010
860,Olympus Has Fallen,"$170,270,201","$98,925,640",58.1%,"$71,344,561",41.9,2013
861,Starsky & Hutch,"$170,268,750","$88,237,754",51.82%,"$82,030,996",48.18,2004
862,Shall We Dance?,"$170,128,460","$57,890,460",34.03%,"$112,238,000",65.97,2004
863,Stuart Little 2,"$169,956,806","$64,956,806",38.22%,"$105,000,000",61.78,2002
864,Zookeeper,"$169,852,759","$80,360,843",47.31%,"$89,491,916",52.69,2011
