Title,Year,Type,Released,Runtime(in mins),Genre,Director,Language,Country,Production,Awards,Nominations,Wins,IMDB Rating,Rotten Tomatoes,Metacritic,Metascore,imdbVotes,BoxOffice,Multigenre,Multilanguage,Multicompany,Multicountry
A Movie of Eggs,2005,movie,17 Nov 2006,90,"Animation, Comedy, Family","Gabriel Riva Palacio Alatriste, Rodolfo Riva Palacio Alatriste",Spanish,"Mexico, Argentina",N/A,1 win,0,1,6.5,N/A,N,N/A,"1,457",N/A,Yes,No,No,Yes
My Big Fat Independent Movie,2005,movie,30 Sep 2005,80,Comedy,Philip Zlotorynski,English,United States,N/A,2 wins,0,2,3.2,23%,32,32,"1,435","$4,655",No,No,No,No
The Naked Brothers Band: The Movie,2005,movie,28 May 2007,90,"Comedy, Family, Music",Polly Draper,English,United States,N/A,2 wins & 1 nomination,1,2,4.0,N/A,N,N/A,"1,256",N/A,Yes,No,No,No
Scary Movie 4,2006,movie,14 Apr 2006,83,Comedy,David Zucker,"English, Japanese",United States,N/A,1 win & 3 nominations,3,1,5.1,34%,40,40,"131,372","$90,710,620",No,Yes,No,No
Date Movie,2006,movie,17 Feb 2006,83,"Comedy, Romance","Aaron Seltzer, Jason Friedberg",English,"Switzerland, United States",N/A,4 wins & 1 nomination,1,4,2.8,7%,11,11,"62,631","$48,548,426",Yes,No,No,Yes
Trailer Park Boys: The Movie,2006,movie,06 Oct 2006,95,"Comedy, Crime",Mike Clattenburg,English,"Canada, United States",N/A,3 nominations,3,0,7.1,57%,38,38,"13,711","$3,860,678",Yes,No,No,Yes
Ultimate Avengers: The Movie,2006,movie,21 Feb 2006,72,"Animation, Action, Adventure, Sci-Fi","Curt Geda, Steven E. Gordon, Bob Richardson","Spanish, English",USA,N/A,1 win & 1 nomination.,1,1,6.7,N/A,N,N/A,"12,075",N/A,Yes,Yes,No,No
Another Gay Movie,2006,movie,03 May 2007,92,"Comedy, Romance",Todd Stephens,English,United States,N/A,2 wins & 1 nomination,1,2,5.0,50%,37,37,"9,553","$654,132",Yes,No,No,No
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,2006,movie,08 Nov 2008,95,"Animation, Action, Adventure",Toshiyuki Tsuru,Japanese,Japan,N/A,N/A,0,0,6.3,N/A,N,N/A,"4,923",N/A,Yes,No,No,No
Dirty Sanchez: The Movie,2006,movie,22 Sep 2006,94,"Documentary, Action, Comedy",Jim Hickey,English,United Kingdom,N/A,N/A,0,0,6.0,40%,N,N/A,"4,413",N/A,Yes,No,No,No
